last_name,first_name,player_id,year,strikeout,walk,k_percent,batting_avg,p_era,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,f_strike_percent,ff_avg_speed,fastball_avg_speed,fastball_avg_spin,breaking_avg_spin,offspeed_avg_spin
Wesneski, Hayden,,2023,28,9,16.7,0.279,5.03,89.5,16.1,13.2,34.9,79.21718129,6.190884919,19.9,66.1,93.6,92.1,2193,2565,1621
Kirby, George,,2023,47,5,20.4,0.243,2.62,87.6,12.8,4,33,76.68296625,5.36031,20.5,72.2,95.3,95.1,2236,2377,1509
Oviedo, Johan,,2023,48,25,19.4,0.259,4.70,88.7,8.7,5.7,40.8,77.458220349,6.181961105,25.7,58.9,96.2,96.3,2261,2485,1810
Detmers, Reid,,2023,53,17,29.8,0.259,4.87,90.8,15.6,5.7,45.7,81.231174038,6.635168558,31.2,62.9,94.9,94.9,2112,2136,1504
Contreras, Roansy,,2023,35,23,16.4,0.258,4.50,90.2,16.8,7.8,42.2,79.672412237,6.681884145,24.2,62.4,94.1,94.1,2346,2567,2033
Strider, Spencer,,2023,97,21,41.5,0.186,2.97,89.8,18.3,8,41.4,79.240373889,6.434783426,39.9,69.2,97.1,97.1,2393,2370,2248
Fleming, Josh,,2023,21,17,12,0.248,3.59,89.5,-2.1,2.9,43.8,78.273716324,6.58787125,17.4,55.7,91.7,90.3,1750,2269,1659
Sears, JP,,2023,51,10,25.1,0.246,4.99,87.8,23.6,11.6,38.4,75.677508406,6.03990587,26.2,67.5,92.8,92.8,2162,2468,1725
Bello, Brayan,,2023,37,12,23.6,0.281,4.08,90.9,2.4,7.5,48.1,79.515899808,7.659118077,28.5,63.1,96,95.6,2033,2407,1840
Rodriguez, Grayson,,2023,50,18,26.2,0.297,6.21,91.7,13.3,10.6,52.8,82.570719677,7.335909268,25.8,55.5,96.5,95,2196,2384,1814
Gray, Josiah,,2023,47,28,19,0.241,2.65,87.2,11.6,5.8,35.7,74.988639882,5.719003529,25,55.2,93.5,91.9,2094,2061,1593
Bradish, Kyle,,2023,32,13,19.8,0.269,4.34,91,10.4,9.6,47,81.305638966,6.929166348,24.7,50.6,94.1,94.2,2286,2603,1371
Waldichuk, Ken,,2023,46,31,19.2,0.322,7.40,88.2,16.3,10.1,38,76.597387215,5.937484873,22.3,54.8,92.8,92.8,2259,2098,1568
Brown, Hunter,,2023,56,17,26.8,0.251,3.20,90.7,5,8.3,45.5,80.022757121,7.120446212,26.6,58.4,95.9,95.9,2237,2313,1434
Elder, Bryce,,2023,51,16,21.5,0.240,2.01,91.2,6.5,7.8,48.2,80.792192651,7.40825759,25.5,62,90.6,89.7,2022,2385,2046
