last_name,first_name,player_id,year,strikeout,walk,k_percent,batting_avg,p_era,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,f_strike_percent,ff_avg_speed,fastball_avg_speed,fastball_avg_spin,breaking_avg_spin,offspeed_avg_spin
Cobb, Alex,,2023,52,14,21.4,0.272,2.17,90.2,-0.1,7.4,46.6,78.76436,7.167213851,20.8,68.3,95.7,94.8,2111,2698,1686
Darvish, Yu,,2023,57,16,26.1,0.227,3.67,88.6,12.9,7.1,36.9,77.797829714,5.917048705,28.4,60.1,94.7,93.5,2450,2774,1446
Kelly, Merrill,,2023,59,23,26,0.194,2.98,89.3,9,7,38.5,77.791433521,6.612311418,26.8,60.4,92.3,91.9,2356,2538,2153
Sale, Chris,,2023,62,13,29,0.238,5.01,88.8,12.8,8.3,35.3,78.245894154,5.684432923,27.3,66.8,94.7,94.4,2161,2220,1875
Perez, Martin,,2023,41,16,16.7,0.296,3.83,88.8,13.6,6.4,37.4,78.131325761,5.834013424,19.2,69,91.4,90.5,2090,2323,1715
Anderson, Tyler,,2023,30,23,13.6,0.279,4.81,86.7,18.4,6.7,31.1,75.5495995,4.933044843,24.4,58.6,89.5,87.5,2311,2446,1874
Cole, Gerrit,,2023,70,23,25.3,0.216,2.53,88.9,12.5,8.8,40.1,77.804223889,6.049526167,24.4,68.2,96.8,96.7,2436,2648,1582
DeSclafani, Anthony,,2023,47,9,19.2,0.235,3.43,89.7,9.1,7.5,46.8,77.591667283,7.385810383,19.1,63.3,93.2,93.2,2188,2155,1606
Eovaldi, Nathan,,2023,66,11,25,0.224,2.60,87.9,3.6,4.8,40.9,75.766972826,6.072998641,26.8,64.8,95.8,94.3,2247,2060,1673
Gray, Sonny,,2023,66,21,29.2,0.218,1.82,90.1,9.6,6.5,42.4,79.9829775,6.471955735,29,58,92.6,90.9,2520,2689,1727
Lyles, Jordan,,2023,43,20,17.3,0.251,7.15,88.6,21.8,12,36.1,77.707932637,5.88795105,19.1,60.5,90.7,90,2247,2549,1531
Lorenzen, Michael,,2023,31,11,19,0.248,4.08,90.6,9.2,11.8,42.9,80.625567667,6.838184454,22.3,68.7,94.7,94.2,2451,2613,2119
Wheeler, Zack,,2023,64,14,26.1,0.250,4.11,85.1,14.8,4.3,35,72.258981111,4.953618272,29.1,64.1,95.9,95.6,2417,2606,1972
Boyd, Matthew,,2023,39,18,20.9,0.251,5.74,87.8,19.2,7,31.3,77.448116406,5.179458984,30.8,63.1,91.2,91,2481,2438,1866
Corbin, Patrick,,2023,34,10,13.8,0.291,4.47,91.1,8.9,7.9,46.5,79.8278402,7.5076648,20.5,65.9,91.5,91.9,2051,2133,1535
Heaney, Andrew,,2023,52,20,25.7,0.215,4.13,88.2,15.2,8.7,31,78.28931,5.230092258,26.5,63.4,92,92,2401,2520,2116
Mikolas, Miles,,2023,43,14,17.6,0.299,4.77,90.2,12.7,8.7,40.2,79.737532826,6.568231467,16,64.5,93.2,92.8,2246,2420,1642
Stroman, Marcus,,2023,54,23,21.3,0.205,2.95,89.8,3.1,4,42.6,79.072429091,6.547440625,22.9,57.9,91.7,91.1,2396,2797,1749
Kikuchi, Yusei,,2023,48,14,21.8,0.279,4.56,92.4,14.7,11.5,48.4,83.548804231,7.312472949,27.3,56.4,95.2,95.2,2340,2387,1751
Gausman, Kevin,,2023,81,11,31.9,0.236,3.14,90.3,12.2,8.7,45.3,79.347363125,7.270164403,29,65.7,94.2,94.2,2263,2208,1764
Gray, Jon,,2023,38,18,18.4,0.227,3.02,88.2,13.1,8.2,35.4,77.566461127,5.507259577,24.1,69.9,95.2,95.2,2007,2484,1426
Syndergaard, Noah,,2023,30,6,16.9,0.295,5.88,88.1,12.2,8.7,38.4,76.52488029,5.92614146,21.3,64,92.4,91.2,2143,2247,1599
Walker, Taijuan,,2023,42,22,21,0.254,5.79,88,8,8.1,41.2,75.971190746,6.151501343,21.6,62,93.2,92.1,2154,2557,1498
Williams, Trevor,,2023,37,13,17.5,0.254,4.32,87.5,16.1,13.8,35.6,75.478142532,5.937027134,16.6,63.2,90.3,89.8,2116,2196,1731
German, Domingo,,2023,49,15,26.1,0.165,3.75,88.8,15.9,9.8,41,77.795698361,6.145065537,30.9,65.4,92.4,92.4,2505,2685,2444
Rodriguez, Eduardo,,2023,61,14,25.5,0.203,2.19,86.3,13.9,5.5,31.7,74.639947595,5.062302357,24.2,66.5,92.1,91,2195,2126,1912
Gonzales, Marco,,2023,30,15,15.6,0.295,5.68,89.9,13,6.8,37.4,80.0169275,6.129769583,20.3,61.5,89,88.4,2035,2212,2165
Gomber, Austin,,2023,31,19,14.3,0.277,6.48,90.1,10.6,8.4,42.5,78.975158049,6.905949018,19.1,57.1,90.6,90.5,2162,2443,1629
Pivetta, Nick,,2023,48,19,23.4,0.265,6.15,92.5,12.9,15.7,49.3,83.757830299,7.424090896,25.3,58.5,93.8,92.4,2290,2682,1268
Bassitt, Chris,,2023,52,24,20.6,0.186,3.03,87.2,13.3,8.8,31.8,75.544734096,5.496937651,22.2,65.5,92.4,90.8,2121,2286,1753
Clevinger, Mike,,2023,40,22,19,0.255,4.56,89.4,22,8.2,34.9,79.705195139,5.631099653,21.3,57.3,93.9,92.7,2287,2376,1518
Nola, Aaron,,2023,53,13,21.3,0.233,4.31,88.1,15.1,8.2,34.6,77.622757692,5.404982486,22.7,61.8,91.7,90.3,2251,2554,1524
Snell, Blake,,2023,48,27,23.8,0.247,5.40,89.4,14.6,12.6,43.3,78.151220938,6.53945252,31.8,53,94.7,94.7,2413,2320,1847
Martinez, Nick,,2023,36,15,21.6,0.191,2.83,84,5.7,8.6,25.9,72.851138103,3.719086552,28.4,68.3,93,91.4,2360,2594,2014
Freeland, Kyle,,2023,38,12,17.4,0.265,3.88,89.9,12.8,7.7,39.9,79.376082048,6.604004,16.7,57.3,88.8,88.7,2337,2309,1631
Lugo, Seth,,2023,38,11,21.3,0.279,4.10,89.9,7.6,8.7,40.2,79.456339206,6.441819286,17.6,61.2,93.2,93.1,2269,3066,1834
Giolito, Lucas,,2023,60,12,24.4,0.240,3.62,87.8,20.4,9.4,35.9,76.098386706,5.790690888,27.3,61,92.9,92.9,2172,1988,1522
Wacha, Michael,,2023,45,14,21.7,0.230,3.58,86.9,18.4,8.2,30.8,76.277848356,4.804781986,24,61.8,91.9,90.6,2020,2170,1563
Quantrill, Cal,,2023,31,18,12.8,0.258,4.75,88.2,12.2,7.9,39.2,76.631555638,6.044313422,16.3,60.7,94,91.5,2191,2427,1320
Eflin, Zach,,2023,52,5,28.4,0.237,3.45,87.9,9.8,12,40,75.264197049,6.43347418,25.8,62.8,92.7,90.5,2175,2506,1590
Berrios, Jose,,2023,57,14,23.1,0.257,4.22,87.8,9.1,9.2,32.9,76.339309884,5.702890523,26,57.9,94,93.8,2163,2363,1437
Castillo, Luis,,2023,66,13,28.3,0.216,2.97,91,16,10.5,47.7,79.031712105,7.791766513,30.6,67,95.8,95.6,2263,2332,1923
Urias, Julio,,2023,53,11,23.3,0.250,4.39,87.1,15.5,10.6,35.4,74.969733038,5.676547089,24.2,62.6,93,91.9,2481,2833,1810
Lopez, Pablo,,2023,75,17,30.5,0.223,3.90,88.2,13.5,10.1,39.9,76.878124324,5.92798723,31,69.9,95,94.8,2257,2539,2075
Cortes Jr., Nestor,,2023,53,16,23.2,0.255,5.30,90,26.4,7.1,41,80.118589615,6.079266258,21.9,66.2,91.5,89.6,2324,2569,1391
Dunning, Dane,,2023,26,10,15.4,0.206,1.67,89,10.6,6.2,40,78.313619231,5.906729077,19.4,65.1,90.3,89.8,2135,2361,1800
Keller, Brad,,2023,31,40,15.4,0.261,4.36,89.1,5.2,7.1,37,79.403530156,5.518530551,22.8,50.2,93.2,93,2297,2531,1677
Lauer, Eric,,2023,41,20,21.9,0.273,5.48,91.7,21.7,13.5,45.2,82.067547302,7.134003333,22.2,56.7,90.8,89,2182,2302,1498
Peralta, Freddy,,2023,54,22,24.3,0.235,4.15,86.4,15.2,7.7,32.9,74.929232113,5.035496667,30.2,60.8,94.5,94.5,2413,2312,1671
Alcantara, Sandy,,2023,57,20,21.6,0.243,4.86,88.8,9.8,6,41.3,77.042058022,6.400091978,27.1,64,97.8,97.7,2277,2369,2002
